first_name,last_name,id,email,user_id,age,occupation,financial_goals,risk_tolerance,financial_preference,financial_options,financial_knowledge,investment_period,income_source,income_average,expenses_average,saving_plan,monthly_contribution
Azucena,Ayllón,718919,Rixjomh.povna@gmail.com,718919,69,Controlador de tráfico aéreo,Vivienda,Moderado,Ahorro,Opción ahorro,Avanzado,9,Dependiente,548843,412840,True,40
Andrés felipe,Rodrigo,797826,Cvlisikp.boeaf@yahoo.com,797826,38,Filósofos,Vacaciones,Conservador,Ahorro,Opción ahorro,Intermedio,12,Ambos,823536,473397,True,98
Amor,Figueras,617096,Dcii.cmmvcq@outlook.com,617096,69,Otros,Vivienda,Arriesgado,Inversión,Otros,Ninguno,6,Dependiente,828342,485594,True,59
Paz,Vicente,957587,Qcepsmwb.xhvukxg@hotmail.com,957587,48,Otros,Jubilación,Arriesgado,Inversión,ETFS,Ninguno,6,Dependiente,868632,506774,True,39
Epifanio,Alemán,120636,Rknj.rumyz@gmail.com,120636,24,Agrónomo,Vivienda,Conservador,Inversión,Acciones,Básico,9,Ambos,824883,772137,True,13
María,Vélez,771768,Jtdka.unglkjwg@outlook.com,771768,62,Policía,Otros,Moderado,Ahorro,Opción ahorro,Ninguno,6,Jubilación,790220,519032,True,93
Chucho,Castillo,134711,Fpenirt.xkhbq@outlook.com,134711,53,Psicólogos,Vacaciones,Conservador,Inversión,CDF,Intermedio,6,Jubilación,501050,410166,True,71
Mercedes,Galván,573330,Grqovee.ltgjsdcd@hotmail.com,573330,52,Filósofos,Educación,Arriesgado,Ahorro,Opción ahorro,Básico,12,Ambos,488801,389975,True,34
Álvaro,Sevilla,961627,Ftaic.qocvhw@hotmail.com,961627,24,Modelos de moda,Jubilación,Moderado,Ahorro,Opción ahorro,Básico,6,Independiente,850986,848159,True,59
Adelardo,Rivera,428325,Ukto.rfyilwa@outlook.com,428325,35,Fotógrafo,Otros,Moderado,Inversión,Acciones,Intermedio,12,Independiente,415712,348772,True,41
Atilio,Colomer,529628,Tyretjek.mppfycgqlw@yahoo.com,529628,47,Bibliotecario,Imprevistos,Moderado,Ahorro,Opción ahorro,Básico,12,Dependiente,726157,562111,True,51
Geraldo,Vendrell,440158,Cdghnmc.uyuieinyv@gmail.com,440158,32,Economista,Vivienda,Arriesgado,Ahorro,Opción ahorro,Avanzado,9,Independiente,310170,296842,True,64
Amando,Marín,157325,Vwkef.qyvok@hotmail.com,157325,64,Matemático,Vivienda,Conservador,Inversión,Bonos,Básico,9,Jubilación,299771,215435,True,85
Sofía,Herranz,991310,Dxbby.wmtuhq@yahoo.com,991310,31,Otros,Jubilación,Conservador,Inversión,ETFS,Avanzado,9,Ambos,417145,412215,True,79
Cebrián,Camacho,102410,Jqcg.wwztltaqq@outlook.com,102410,45,Cocinero,Jubilación,Moderado,Ahorro,Opción ahorro,Ninguno,3,Dependiente,473858,407035,True,39
Jordán,Torrent,731217,Oapruj.hieynzrxt@outlook.com,731217,37,Modelos de moda,Libertad financiera,Conservador,Inversión,Bonos,Básico,6,Independiente,821447,549129,True,87
René,Alarcón,880247,Jgtun.dfhvnbz@gmail.com,880247,28,Modelos de moda,Vivienda,Arriesgado,Ahorro,Opción ahorro,Ninguno,6,Independiente,645557,632649,True,32
Patricio,Lasa,697462,Rgkyox.esnur@yahoo.com,697462,44,Asistente veterinario,Otros,Conservador,Ahorro,Opción ahorro,Ninguno,3,Independiente,768333,398855,True,9
Dorotea,Rivas,263621,Aqratvmb.csqxpdgq@gmail.com,263621,52,Ingeniero químico,Libertad financiera,Arriesgado,Inversión,Otros,Intermedio,12,Ambos,882019,754020,True,22
Brígida,Peñas,410453,Yxwv.eegmlreom@hotmail.com,410453,37,Veterinario,Libertad financiera,Arriesgado,Ahorro,Opción ahorro,Básico,9,Independiente,588565,364027,True,95
Joaquín,Roldán,239700,Qbbljdkm.sijiazepcl@hotmail.com,239700,66,Ingeniero de telecomunicaciones,Jubilación,Moderado,Inversión,Otros,Ninguno,9,Jubilación,565813,515195,True,40
Emma,Sanabria,694445,Cgcrvkhm.nbiaqm@hotmail.com,694445,35,Matemático,Proyectos largo plazo,Arriesgado,Inversión,Otros,Ninguno,3,Ambos,858953,766039,True,65
Natalia,Galvez,945310,Szpwnly.biqzvppouq@yahoo.com,945310,63,Mozos y taberneros,Vacaciones,Arriesgado,Ahorro,Opción ahorro,Ninguno,9,Jubilación,776918,510375,True,70
Macaria,Marín,741358,Rwbqonxr.xbwppvdqn@outlook.com,741358,25,Músico,Vivienda,Moderado,Ahorro,Opción ahorro,Avanzado,12,Dependiente,339940,207689,True,52
Asunción,Conde,452028,Dubjmerk.skewn@outlook.com,452028,64,Directores general,Imprevistos,Moderado,Inversión,Bonos,Intermedio,9,Ambos,305870,158332,True,12
Hermenegildo,Gisbert,178034,Fhsabtr.osvpw@yahoo.com,178034,65,Catador,Imprevistos,Arriesgado,Inversión,Otros,Básico,3,Independiente,712758,440682,True,68
Jose ignacio,Alcántara,255277,Carugbo.ntpeyszvwd@outlook.com,255277,55,Filósofos,Vivienda,Moderado,Ahorro,Opción ahorro,Avanzado,9,Ambos,551752,482054,True,85
Flor,Arévalo,454478,Omkcg.ytwrmdy@yahoo.com,454478,55,Cartógrafos y agrimensores,Proyectos largo plazo,Conservador,Ahorro,Opción ahorro,Básico,3,Independiente,352442,208194,True,84
Herminia,Medina,317544,Silyp.meevlo@yahoo.com,317544,30,Agente de bolsa,Jubilación,Arriesgado,Ahorro,Opción ahorro,Intermedio,9,Independiente,593725,297976,True,80
Teodoro,Anaya,178980,Ntykhpg.ltccrict@yahoo.com,178980,40,Asistente veterinario,Libertad financiera,Conservador,Ahorro,Opción ahorro,Ninguno,12,Independiente,458701,438730,True,29
Albino,Oliveras,264705,Ckulaonz.hqabcfg@yahoo.com,264705,36,Directores general,Otros,Conservador,Inversión,CDF,Ninguno,9,Independiente,661268,518548,True,79
Cayetano,Rueda,174235,Wbvatuu.uemlcd@outlook.com,174235,52,Agente de viaje,Educación,Arriesgado,Ahorro,Opción ahorro,Ninguno,3,Ambos,756023,730373,True,36
Coral,Llorens,958995,Hlic.qycjbidy@outlook.com,958995,30,Operador de máquina,Vivienda,Moderado,Ahorro,Opción ahorro,Intermedio,3,Dependiente,830634,458221,True,33
Cecilia,Lucas,735736,Wtlput.oxgpaiwddm@gmail.com,735736,63,Actor,Vivienda,Moderado,Ahorro,Opción ahorro,Intermedio,9,Independiente,397553,395626,True,13
Octavio,Uriarte,119583,Aqxzfzl.trudxeu@gmail.com,119583,41,Piloto,Vivienda,Conservador,Inversión,ETFS,Ninguno,3,Dependiente,868301,472605,True,40
Merche,Hierro,920340,Xtrith.eehqdjpc@yahoo.com,920340,70,Agente inmobiliario,Vacaciones,Arriesgado,Inversión,Otros,Básico,9,Dependiente,838159,780637,True,21
Candelaria,Díaz,575640,Hbzz.cjaachn@yahoo.com,575640,38,Operadores de equipos ópticos y electrónicos,Otros,Moderado,Inversión,ETFS,Ninguno,6,Ambos,682395,546548,True,22
Miguel,Báez,447559,Fursaq.eqnoe@gmail.com,447559,53,Matemático,Libertad financiera,Conservador,Inversión,CDF,Avanzado,9,Jubilación,753284,684609,True,54
Buenaventura,Barrera,687385,Xnjugd.cvwkl@hotmail.com,687385,19,Ingeniero de telecomunicaciones,Libertad financiera,Conservador,Ahorro,Opción ahorro,Avanzado,6,Ambos,457234,357617,True,27
Pepita,Recio,134184,Dntnujl.uibjrut@hotmail.com,134184,23,Bombero,Imprevistos,Conservador,Ahorro,Opción ahorro,Básico,12,Independiente,665070,521984,True,85
Judith,Castro,897326,Cibjccko.dibdahcw@outlook.com,897326,48,Conductor,Proyectos largo plazo,Conservador,Inversión,Otros,Básico,9,Dependiente,500961,402763,True,29
Olimpia,Méndez,918814,Tgqngg.cnwyca@hotmail.com,918814,46,Ingeniero electricista,Vacaciones,Moderado,Inversión,CDF,Avanzado,9,Dependiente,854344,495184,True,93
Aurora,Sevilla,943393,Gnyv.tpvpuvn@hotmail.com,943393,68,Conserje,Educación,Arriesgado,Inversión,Bonos,Intermedio,9,Dependiente,853039,497328,True,51
Carmelita,Heras,423284,Trrqk.mvnclfbq@outlook.com,423284,31,Ingeniero electricista,Imprevistos,Arriesgado,Ahorro,Opción ahorro,Ninguno,3,Dependiente,897240,648880,True,61
Cristina,Villena,549818,Qkbec.okywleqgw@gmail.com,549818,40,Contador,Libertad financiera,Conservador,Ahorro,Opción ahorro,Intermedio,6,Dependiente,567043,369242,True,78
Yago,Jurado,284626,Xzinm.mydofb@outlook.com,284626,56,Fisioterapeuta,Imprevistos,Moderado,Inversión,Otros,Avanzado,9,Dependiente,896480,794120,True,15
María del carmen,Fuster,144221,Ojguz.jjleqhgkjx@outlook.com,144221,20,Directores general,Otros,Arriesgado,Ahorro,Opción ahorro,Intermedio,3,Dependiente,593759,442407,True,57
María,Torrens,751315,Qzcdyi.rhbuxk@gmail.com,751315,44,Controlador de tráfico aéreo,Proyectos largo plazo,Arriesgado,Inversión,ETFS,Intermedio,12,Dependiente,772533,460363,True,90
Jafet,Uriarte,692785,Iubnmgea.adkbalizy@yahoo.com,692785,45,Farmacéutico,Educación,Moderado,Ahorro,Opción ahorro,Avanzado,12,Independiente,673414,591378,True,53
Mayte,Ferreras,828210,Jqgbkk.zyazlaihyr@hotmail.com,828210,48,Ingeniero mecánico,Vacaciones,Arriesgado,Ahorro,Opción ahorro,Avanzado,9,Ambos,821610,628730,True,76
Carmen,Torrens,847724,Wyqncv.ngrvsf@hotmail.com,847724,29,Físicos,Proyectos largo plazo,Moderado,Inversión,CDEARS,Intermedio,3,Dependiente,425006,320156,True,5
Mario,Carballo,840438,Qpybtz.jbpyfa@yahoo.com,840438,29,Ingeniero mecánico,Proyectos largo plazo,Moderado,Inversión,Acciones,Intermedio,9,Dependiente,517166,336764,True,7
Encarnación,Sandoval,489311,Scdprvx.jkwrqgf@gmail.com,489311,68,Catador,Educación,Moderado,Inversión,CDF,Avanzado,12,Dependiente,411214,348598,True,91
Cristina,Peña,995153,Fmssyc.kthdz@hotmail.com,995153,62,Otros,Vacaciones,Conservador,Ahorro,Opción ahorro,Ninguno,3,Jubilación,873863,653549,True,82
Jose francisco,Talavera,249182,Zvgawv.skunspzrwr@gmail.com,249182,37,Ingenieros de minas,Vacaciones,Moderado,Ahorro,Opción ahorro,Avanzado,9,Independiente,839994,587528,True,88
Plácido,Vilanova,499982,Nxcij.hzrkysie@hotmail.com,499982,58,Policía,Libertad financiera,Conservador,Inversión,CDEARS,Básico,3,Ambos,598465,474706,True,76
David,Yáñez,919771,Peqf.jxswyia@hotmail.com,919771,21,Ingeniero civil,Vacaciones,Conservador,Ahorro,Opción ahorro,Básico,3,Dependiente,772673,682545,True,76
María carmen,Quirós,229883,Tquch.citnu@gmail.com,229883,65,Otros,Proyectos largo plazo,Arriesgado,Inversión,CDEARS,Básico,9,Independiente,800738,721385,True,29
Jose angel,Montesinos,601839,Kdnvad.mmexsnfmtg@yahoo.com,601839,66,Ingeniero electricista,Otros,Moderado,Ahorro,Opción ahorro,Básico,9,Independiente,456838,287598,True,64
Narcisa,Moles,951838,Tkntveg.nhlenxr@gmail.com,951838,55,Cocinero,Jubilación,Moderado,Inversión,Otros,Intermedio,12,Independiente,479919,470751,True,37
Gastón,Alemán,361157,Buixu.fjjapbd@gmail.com,361157,39,Físicos,Otros,Moderado,Inversión,CDEARS,Ninguno,9,Dependiente,409758,312407,True,18
Ainoa,Yuste,784032,Booq.btuzjmoaeg@yahoo.com,784032,25,Ingeniero civil,Otros,Moderado,Ahorro,Opción ahorro,Avanzado,3,Independiente,674163,534638,True,14
Nydia,Ponce,345648,Kwve.eqfwqjzv@yahoo.com,345648,45,Otros,Vivienda,Arriesgado,Inversión,Acciones,Avanzado,12,Ambos,336871,186908,True,62
Norberto,Maestre,177895,Nqjqx.ogvolqta@gmail.com,177895,58,Coreógrafo,Proyectos largo plazo,Arriesgado,Inversión,CDF,Avanzado,12,Ambos,728913,486046,True,69
Ruperta,Daza,912660,Ojkcg.otcwhoctq@gmail.com,912660,57,Agente de seguros,Proyectos largo plazo,Conservador,Ahorro,Opción ahorro,Básico,6,Ambos,774874,420994,True,21
Oriana,Noriega,978824,Lzzoyvsd.nabblszqq@hotmail.com,978824,59,Agente de bolsa,Vacaciones,Conservador,Inversión,ETFS,Avanzado,12,Independiente,612253,504070,True,84
Isidro,Casado,985550,Frlvg.mkxoqymmxf@yahoo.com,985550,46,Gerentes de empresas,Educación,Moderado,Ahorro,Opción ahorro,Básico,3,Independiente,706492,432468,True,19
Manolo,Berrocal,553100,Ntgkebe.oerhdghm@gmail.com,553100,49,Otros,Educación,Conservador,Ahorro,Opción ahorro,Ninguno,9,Independiente,774548,598907,True,76
Ambrosio,Tovar,243659,Jdfavxc.iuumxvapr@gmail.com,243659,61,Arquitecto,Educación,Moderado,Ahorro,Opción ahorro,Ninguno,3,Dependiente,361294,325479,True,58
Severiano,Martín,884773,Sixykahh.pyqni@yahoo.com,884773,44,Conductor,Vivienda,Conservador,Inversión,Bonos,Ninguno,6,Independiente,546621,305678,True,100
Gertrudis,Baeza,201084,Hliafs.jbkainy@outlook.com,201084,41,Controlador de tráfico aéreo,Educación,Arriesgado,Inversión,CDEARS,Avanzado,12,Dependiente,335579,199831,True,45
